Var1,Var2,Var3
447609.756695906,4387218.37173551,-553.322824157206
447798.34425315,4386917.63667029,-196.468458795436
447801.894193114,4386475.2180881,-195.705546857671
447615.516149685,4386174.59308306,-556.301614565153
447618.382298702,4385613.10594558,-557.818548152616
447871.602112356,4385360.84365822,-109.492161495206
447366.40479077,4386966.95306266,-982.008811520919
447368.287309367,4386425.06459021,-985.525037677855
448123.000900851,4382954.70589349,311.800800993601
447875.837705306,4384824.524436,-107.986359609032
447623.511061351,4384572.19176153,-560.226405446334
448124.944995638,4382419.98538551,309.917847169801
447632.54318796,4382403.12887095,-565.001629015804
447888.774961779,4382152.81242785,-111.325176206238
448526.648880938,4382118.01567472,1015.1086283192
448299.451874819,4382100.39233075,626.599988926176
447373.999163743,4385363.4098521,-988.076587437739
447375.597214121,4384821.29404927,-991.179107812109
447385.949326262,4382156.28835483,-997.857951079001
447387.027926161,4381613.89650936,-999.769248186882
447636.481675046,4381367.08722181,-565.87442817496
447892.602617109,4381618.00919459,-108.965154802634
448535.05889828,4380052.33223069,1011.21765873807
448310.162083752,4380065.95818217,625.234981569942
448536.366383261,4378909.82516299,1011.28304192098
448308.130239988,4378895.03691922,623.148668865447
447389.713071494,4378949.40640949,-1002.12103560002
447388.851127436,4378407.13937511,-1000.64680488936
447637.51434229,4378161.35828354,-567.047374406878
447896.444097195,4378411.0475827,-111.192416195566
448135.022395346,4379216.30213872,307.760304934266
447897.740423781,4378945.31296124,-111.328498734464
448135.437466847,4379746.76837105,310.464462571355
447639.769385515,4379195.67196541,-568.342483282611
448493.653012904,4375822.11883011,984.047990400027
448720.332976324,4375702.03798351,1362.31131900267
448217.649633606,4375705.6955247,458.307626456743
448154.811792291,4376032.77345304,363.552160544236
448338.8329548,4375765.03529918,703.831968365901
447381.673084742,4375851.77269879,-974.324498829856
447562.662021162,4375719.09819784,-650.961900752145
447660.151588601,4376025.00110196,-490.938332835642
447999.692958002,4375777.81591773,116.425356996851
447836.483490807,4375811.47810339,-152.820711525137
447902.520353017,4390718.1346277,17.4559329149197
448378.424263834,4390717.47003661,880.767224956597
447891.688029931,4390723.20975482,-0.694025649971902
447874.975372434,4390718.14359978,-30.6893002937683
447401.316426026,4390717.7348033,-865.639001599233
447884.661011641,4390723.48508929,-12.5726650942806
448388.883844382,4390721.5670583,899.213566415881
447391.125249765,4390721.88465836,-883.364485675798
447044.402680913,4388340.83562116,-1524.56856710357
447045.159246716,4388259.4567829,-1524.54615682684
447066.592124538,4385129.08652986,-1528.31646226804
447067.050789364,4385056.35616325,-1528.30674458898
447075.153029937,4377108.86758034,-1529.92126833666
447074.532351473,4377039.73504451,-1529.93185023116
447081.803582302,4381918.72329965,-1530.96957523214
447082.047445266,4381852.05133827,-1530.96550303398
447084.47717464,4378710.68926816,-1531.59603361529
447084.23610997,4378645.38718154,-1531.60196034153
447099.15832017,4390514.83076584,-1395.09517305224
447072.321448337,4390107.63550303,-1445.0962557105
447025.493330123,4389508.11798544,-1538.04937883139
447148.46235036,4389336.41614004,-1329.74901744267
447098.619289187,4388943.93619932,-1423.62184288855
447104.208267795,4388605.51827833,-1417.47091249814
447027.777743725,4389939.74137617,-1524.55615631821
447029.801906504,4389855.76422312,-1522.41366758915
447110.644852117,4387655.56891655,-1422.93423191977
447107.948676229,4387997.68634893,-1420.41929601979
447114.791465178,4387336.00281647,-1420.28380978233
447113.494270675,4386989.07755906,-1425.13259735676
447056.510512324,4386734.75046789,-1526.60100543993
447057.088544075,4386658.07147371,-1526.5861844661
447124.516570404,4386055.23555438,-1419.78498609402
447116.459375704,4386405.70076175,-1427.40276903413
447136.169260221,4384454.38099351,-1417.26005857
447123.57531049,4384812.35451342,-1433.39982025471
447139.128637606,4384122.753677,-1415.45103621462
447127.512288086,4383761.17398799,-1437.11080795357
