X_Obs,Y_Obs,Z_Obs,Dilatation
442092.7,4373573.3,0,-3.50956678421376e-07
442092.7,4374573.3,0,-7.98363580172241e-07
442092.7,4375573.3,0,-1.35853831229414e-06
442092.7,4376573.3,0,-1.93185102845059e-06
442092.7,4377573.3,0,-2.40748798390679e-06
442092.7,4378573.3,0,-2.72892456073063e-06
442092.7,4379573.3,0,-2.90604399086057e-06
442092.7,4380573.3,0,-2.98288564968208e-06
442092.7,4381573.3,0,-3.00459811816951e-06
442092.7,4382573.3,0,-3.00131804857413e-06
442092.7,4383573.3,0,-2.98553761072913e-06
442092.7,4384573.3,0,-2.95457925153837e-06
442092.7,4385573.3,0,-2.89378489658059e-06
442092.7,4386573.3,0,-2.7798803621869e-06
442092.7,4387573.3,0,-2.58177927867499e-06
442092.7,4388573.3,0,-2.26298735881731e-06
442092.7,4389573.3,0,-1.8038262899697e-06
442092.7,4390573.3,0,-1.24179113943594e-06
443092.7,4373573.3,0,-2.97879900815353e-07
443092.7,4374573.3,0,-1.03487281904152e-06
443092.7,4375573.3,0,-2.05795138582713e-06
443092.7,4376573.3,0,-3.12190731436635e-06
443092.7,4377573.3,0,-3.93925368343887e-06
443092.7,4378573.3,0,-4.40573097971206e-06
443092.7,4379573.3,0,-4.59445683959069e-06
443092.7,4380573.3,0,-4.62910867408958e-06
443092.7,4381573.3,0,-4.60736962206093e-06
443092.7,4382573.3,0,-4.58125147455095e-06
443092.7,4383573.3,0,-4.56661875777699e-06
443092.7,4384573.3,0,-4.55430789296263e-06
443092.7,4385573.3,0,-4.51456306112555e-06
443092.7,4386573.3,0,-4.40770275958617e-06
443092.7,4387573.3,0,-4.18172459262564e-06
443092.7,4388573.3,0,-3.7434789571584e-06
443092.7,4389573.3,0,-2.99023387440668e-06
443092.7,4390573.3,0,-1.95962326808736e-06
444092.7,4373573.3,0,-6.32501280313485e-08
444092.7,4374573.3,0,-1.34107148833839e-06
444092.7,4375573.3,0,-3.47174596657997e-06
444092.7,4376573.3,0,-5.75200127847292e-06
444092.7,4377573.3,0,-7.28284830592641e-06
444092.7,4378573.3,0,-7.92879259642224e-06
444092.7,4379573.3,0,-8.03534870432267e-06
444092.7,4380573.3,0,-7.92790519563043e-06
444092.7,4381573.3,0,-7.80567442984984e-06
444092.7,4382573.3,0,-7.74069948561627e-06
444092.7,4383573.3,0,-7.74164957671258e-06
444092.7,4384573.3,0,-7.78871700130359e-06
444092.7,4385573.3,0,-7.81187695694448e-06
444092.7,4386573.3,0,-7.73885269128854e-06
444092.7,4387573.3,0,-7.53553370900031e-06
444092.7,4388573.3,0,-7.00329296510552e-06
444092.7,4389573.3,0,-5.71058526487872e-06
444092.7,4390573.3,0,-3.5320403345987e-06
445092.7,4373573.3,0,6.87053289016668e-07
445092.7,4374573.3,0,-1.50714337706329e-06
445092.7,4375573.3,0,-6.78433807485208e-06
