Trend,Plunge
89.8918818399226,29.502133758414
89.9968390997303,29.5021797482234
89.8254237824063,30.1281366405523
89.8254237824223,30.1281366405617
90.8853337729909,30.0983668817803
90.8853337730012,30.0983668818633
90.8853337730133,30.0983668818831
90.8853337729997,30.0983668818494
90.7137707003459,29.4963520961035
88.6020065502152,29.8064654492697
88.6020065499557,29.8064654492685
88.6020065500309,29.8064654492709
87.9110870569662,28.92760291002
91.4008392191776,28.9399358151247
87.3062119962307,29.8570245959475
87.306211996231,29.8570245959477
91.6762665804776,30.1822765067775
91.6762665804771,30.1822765067778
87.5930517347778,29.6776503226214
87.5930517347923,29.6776503226297
91.7631450813637,29.6832899121169
91.7631450813673,29.6832899121148
92.4131242146659,29.429477573272
92.4131242146691,29.4294775732702
88.6838364996262,29.3606839145918
